player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m8_pre_shrink,m8_bonus,m8_raw,m8_final,rank_m8
bastos-botafogo-337,Bastos,Botafogo,66.23,20.71,66.72,66.17,13.38,46.64,0.27,592,0.43,48.56,45,Combativo,66.44,33.44,Defensivo,38.39,0.00,38.39,45.04,60
lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,23.00,49.30,26.95,23.48,60.70,36.69,0.61,1325,0.73,40.33,67,Posicional,25.21,44.33,Defensivo,42.83,0.00,42.83,44.80,61
lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,20.14,30.79,44.36,35.31,43.52,34.83,0.25,551,0.41,43.77,60,Híbrido,39.84,31.48,Híbrido,36.08,0.77,36.84,44.66,62
bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,24.21,54.93,36.52,58.58,46.62,44.17,0.68,1478,0.78,45.45,55,Posicional,47.55,41.92,Defensivo,42.76,0.00,42.76,44.37,63
viery-fiorentina-138,Viery,Fiorentina,92.25,30.48,42.96,34.51,61.83,52.41,0.61,1323,0.73,51.75,29,Construtor,38.73,61.52,Construtor,42.15,0.00,42.15,44.31,64
vit-o-flamengo-322,Vitão,Flamengo,20.42,49.02,47.46,32.96,14.79,32.93,0.30,641,0.46,42.27,65,Híbrido,40.21,28.08,Híbrido,34.75,0.00,34.75,43.03,65
gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,27.27,21.13,48.59,34.08,66.34,39.48,0.78,1700,0.85,41.02,66,Híbrido,41.34,38.25,Híbrido,39.95,0.00,39.95,41.44,66
wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,40.16,27.33,58.36,54.39,13.94,38.84,0.36,785,0.51,44.23,59,Combativo,56.38,27.14,Defensivo,31.53,0.00,31.53,40.49,67
tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,20.20,43.66,36.81,33.52,51.41,37.12,0.67,1451,0.77,40.08,68,Híbrido,35.17,38.42,Híbrido,36.96,0.39,37.34,40.24,68
c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,51.34,19.08,23.49,30.38,30.00,30.86,0.52,1125,0.65,37.50,70,Combativo,26.93,33.47,Defensivo,32.49,0.23,32.72,38.71,69
cac-vit-ria-84,Cacá,Vitória,33.94,31.69,19.14,35.21,55.63,35.12,0.71,1548,0.80,38.05,69,Híbrido,27.18,40.42,Híbrido,34.46,0.06,34.52,37.61,70
a-franco-tigres-uanl-168,A. Franco,Tigres UANL,23.37,17.61,41.88,41.59,15.35,27.96,0.56,1209,0.69,34.92,71,Combativo,41.73,18.78,Defensivo,22.22,0.11,22.33,31.02,71
