player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m2_raw,m3_raw,m6_raw,m8_raw,m0_final,m2_final,m3_final,m6_final,m8_final,rank_m0,rank_m2,rank_m3,rank_m6,rank_m8
kayky-almeida-remo-341,Kayky Almeida,Remo,63.41,63.07,42.94,62.47,52.54,56.89,0.26,565,0.42,52.87,21,Híbrido,52.70,59.67,Híbrido,56.54,52.70,57.23,57.52,52.87,52.72,51.13,53.01,53.13,21,38,11,29,36
gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,83.29,17.21,59.02,66.28,43.24,53.81,0.58,1263,0.70,52.68,22,Construtor,62.65,47.91,Construtor,60.92,38.38,54.74,60.92,52.68,57.66,41.85,53.33,57.66,22,22,48,25,22
andr-ramalho-corinthians-318,André Ramalho,Corinthians,32.90,87.89,84.02,26.38,41.55,54.55,0.30,647,0.46,52.07,23,Construtor,55.20,54.11,Construtor,55.04,43.94,68.43,55.04,52.07,52.30,47.23,58.43,52.30,23,42,24,9,42
g-g-mez-palmeiras-27,G. Gómez,Palmeiras,64.08,59.86,29.10,59.29,48.87,52.24,0.87,1875,0.91,52.04,24,Posicional,44.20,57.60,Defensivo,56.10,43.82,52.89,56.10,52.04,55.58,44.36,52.64,55.58,24,29,38,31,29
rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,57.97,66.96,51.22,68.42,30.28,54.97,0.25,537,0.40,52.01,25,Construtor,59.82,51.74,Construtor,58.61,46.38,58.93,58.61,52.01,53.50,48.53,53.63,53.50,25,34,18,23,35
luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,43.65,79.90,35.92,37.82,66.90,52.84,0.56,1224,0.69,51.96,26,Posicional,36.87,63.48,Defensivo,61.50,47.76,56.31,61.50,51.96,57.89,48.47,54.33,57.89,26,21,19,18,21
a-fr-as-santos-253,A. Frías,Santos,83.28,61.08,22.54,21.62,79.01,53.51,0.40,863,0.55,51.93,27,Posicional,22.08,74.46,Defensivo,70.83,40.60,55.77,70.83,51.93,61.48,44.82,53.18,61.48,27,11,34,28,11
r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,56.34,78.11,31.00,39.35,65.21,54.00,0.32,685,0.47,51.89,28,Posicional,35.17,66.55,Defensivo,64.11,46.10,56.80,64.11,51.89,56.73,48.14,53.24,56.73,28,25,21,27,25
viery-fiorentina-138,Viery,Fiorentina,92.25,30.48,42.96,34.51,61.83,52.41,0.61,1323,0.73,51.75,29,Construtor,38.73,61.52,Construtor,42.15,44.70,50.88,42.15,51.75,44.31,46.16,50.64,44.31,29,64,31,42,64
a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,50.34,72.02,52.48,48.09,39.86,52.56,0.50,1078,0.64,51.62,30,Híbrido,50.28,54.07,Híbrido,52.37,48.75,56.75,52.71,51.62,51.51,49.20,54.30,51.73,30,45,15,19,45
j-freytes-fluminense-39,J. Freytes,Fluminense,61.27,35.21,51.41,69.01,39.86,51.35,0.82,1776,0.88,51.19,31,Construtor,60.21,45.45,Construtor,58.71,46.51,53.84,58.71,51.19,57.66,46.93,53.38,57.66,31,23,26,24,23
bruno-gomes-internacional-16,Bruno Gomes,Internacional,64.08,13.38,81.69,56.34,40.42,51.18,0.92,1999,0.95,51.12,32,Construtor,69.02,39.29,Construtor,66.33,34.44,53.46,66.33,51.12,65.46,35.26,53.28,65.46,32,7,61,26,7
